bikeSpeed=5.0 triangle={'safetyFactor': 0.3, 'slopeFactor': 0.0, 'timeFactor': 0.7}
trip                                    km    min  detour  modes
Centraal -> Bijlmer ArenA             9.33   33.9    1.15  BICYCLE
NDSM -> Osdorpplein                  10.77   39.5    1.27  BICYCLE,FERRY
Centraal -> Amstelveen Stadshart     11.13   39.9    1.23  BICYCLE
Diemen Sniep -> Vondelpark            8.95   31.8    1.24  BICYCLE
Zuid -> Sloterdijk                    7.61   28.5    1.26  BICYCLE
IJburg -> Centraal                    9.41   33.5    1.29  BICYCLE
De Pijp -> Noorderpark                5.34   23.0    1.21  BICYCLE,FERRY
Science Park -> RAI                   5.83   22.9    1.23  BICYCLE
